Train Acc.: 0.8314 | Test Acc.: 0.8305
Epoch: 047/200   | Learning Rate 0.001000
Train Auc.: 0.9298 | Test Auc.: 0.9261
Train Loss.: 0.1438 | Test Loss.: 0.1478
Train Acc.: 0.7936 | Test Acc.: 0.7836
Epoch: 048/200   | Learning Rate 0.001000
Train Auc.: 0.9247 | Test Auc.: 0.9233
Train Loss.: 0.1895 | Test Loss.: 0.1919
Train Acc.: 0.7064 | Test Acc.: 0.7020
Epoch: 049/200   | Learning Rate 0.001000
Train Auc.: 0.9177 | Test Auc.: 0.9161
Train Loss.: 0.2192 | Test Loss.: 0.2214
Train Acc.: 0.6706 | Test Acc.: 0.6692
Epoch: 050/200   | Learning Rate 0.001000
Train Auc.: 0.9252 | Test Auc.: 0.9236
Train Loss.: 0.2478 | Test Loss.: 0.2514
Train Acc.: 0.6353 | Test Acc.: 0.6297
Epoch: 051/200   | Learning Rate 0.001000
Train Auc.: 0.9238 | Test Auc.: 0.9199
Train Loss.: 0.1963 | Test Loss.: 0.2023
Train Acc.: 0.6974 | Test Acc.: 0.6885
Epoch: 052/200   | Learning Rate 0.001000
Train Auc.: 0.9344 | Test Auc.: 0.9311
Train Loss.: 0.1549 | Test Loss.: 0.1584
Train Acc.: 0.7786 | Test Acc.: 0.7722
Epoch: 053/200   | Learning Rate 0.001000
Train Auc.: 0.9355 | Test Auc.: 0.9314
Train Loss.: 0.1131 | Test Loss.: 0.1158
Train Acc.: 0.8589 | Test Acc.: 0.8544
Epoch: 054/200   | Learning Rate 0.001000
Train Auc.: 0.9354 | Test Auc.: 0.9318
Train Loss.: 0.1174 | Test Loss.: 0.1198
Train Acc.: 0.8494 | Test Acc.: 0.8462
Epoch: 055/200   | Learning Rate 0.001000
Train Auc.: 0.9420 | Test Auc.: 0.9399
Train Loss.: 0.1455 | Test Loss.: 0.1465
Train Acc.: 0.8098 | Test Acc.: 0.8102
Epoch: 056/200   | Learning Rate 0.001000
Train Auc.: 0.9399 | Test Auc.: 0.9383
Train Loss.: 0.1737 | Test Loss.: 0.1732
Train Acc.: 0.7722 | Test Acc.: 0.7748
Epoch: 057/200   | Learning Rate 0.001000
Train Auc.: 0.9405 | Test Auc.: 0.9346
Train Loss.: 0.1658 | Test Loss.: 0.1673
Train Acc.: 0.7831 | Test Acc.: 0.7848
Epoch: 058/200   | Learning Rate 0.001000
Train Auc.: 0.9359 | Test Auc.: 0.9348
Train Loss.: 0.1458 | Test Loss.: 0.1468
Train Acc.: 0.8136 | Test Acc.: 0.8103
Epoch: 059/200   | Learning Rate 0.001000
Train Auc.: 0.9379 | Test Auc.: 0.9358
Train Loss.: 0.1290 | Test Loss.: 0.1305
Train Acc.: 0.8347 | Test Acc.: 0.8304
Epoch: 060/200   | Learning Rate 0.001000
Train Auc.: 0.9358 | Test Auc.: 0.9357
Train Loss.: 0.1146 | Test Loss.: 0.1150
Train Acc.: 0.8548 | Test Acc.: 0.8551
Epoch: 061/200   | Learning Rate 0.001000
Train Auc.: 0.9325 | Test Auc.: 0.9293
Train Loss.: 0.1121 | Test Loss.: 0.1146
Train Acc.: 0.8521 | Test Acc.: 0.8441
Epoch: 062/200   | Learning Rate 0.001000
Train Auc.: 0.9377 | Test Auc.: 0.9342
Train Loss.: 0.1163 | Test Loss.: 0.1197
Train Acc.: 0.8424 | Test Acc.: 0.8333
Epoch: 063/200   | Learning Rate 0.001000
Train Auc.: 0.9362 | Test Auc.: 0.9341
Train Loss.: 0.1343 | Test Loss.: 0.1369
Train Acc.: 0.8127 | Test Acc.: 0.8105
Epoch: 064/200   | Learning Rate 0.001000
Train Auc.: 0.9338 | Test Auc.: 0.9335
Train Loss.: 0.1326 | Test Loss.: 0.1344
Train Acc.: 0.8167 | Test Acc.: 0.8090
Epoch: 065/200   | Learning Rate 0.001000
Train Auc.: 0.9315 | Test Auc.: 0.9290
Train Loss.: 0.1449 | Test Loss.: 0.1482
Train Acc.: 0.8087 | Test Acc.: 0.8001
Epoch: 066/200   | Learning Rate 0.001000
Train Auc.: 0.9332 | Test Auc.: 0.9294
Train Loss.: 0.1429 | Test Loss.: 0.1463
Train Acc.: 0.8243 | Test Acc.: 0.8201
Epoch: 067/200   | Learning Rate 0.001000
Train Auc.: 0.9362 | Test Auc.: 0.9350
Train Loss.: 0.1088 | Test Loss.: 0.1104
Train Acc.: 0.8629 | Test Acc.: 0.8608
Epoch: 068/200   | Learning Rate 0.001000
Train Auc.: 0.9422 | Test Auc.: 0.9399
Train Loss.: 0.1059 | Test Loss.: 0.1082
Train Acc.: 0.8682 | Test Acc.: 0.8625
Epoch: 069/200   | Learning Rate 0.001000
Train Auc.: 0.9387 | Test Auc.: 0.9345
Train Loss.: 0.1278 | Test Loss.: 0.1303
Train Acc.: 0.8408 | Test Acc.: 0.8368
Epoch: 070/200   | Learning Rate 0.001000
Train Auc.: 0.9366 | Test Auc.: 0.9350
Train Loss.: 0.1278 | Test Loss.: 0.1295
Train Acc.: 0.8451 | Test Acc.: 0.8431
Epoch: 071/200   | Learning Rate 0.001000
Train Auc.: 0.9416 | Test Auc.: 0.9393
Train Loss.: 0.1324 | Test Loss.: 0.1342
Train Acc.: 0.8353 | Test Acc.: 0.8308
Epoch: 072/200   | Learning Rate 0.001000
Train Auc.: 0.9410 | Test Auc.: 0.9381
Train Loss.: 0.1197 | Test Loss.: 0.1223
