Train Acc.: 0.7570 | Test Acc.: 0.7571
Epoch: 067/200   | Learning Rate 0.001000
Train Auc.: 0.8825 | Test Auc.: 0.8775
Train Loss.: 0.2052 | Test Loss.: 0.2052
Train Acc.: 0.6357 | Test Acc.: 0.6343
Epoch: 068/200   | Learning Rate 0.001000
Train Auc.: 0.8900 | Test Auc.: 0.8863
Train Loss.: 0.1904 | Test Loss.: 0.1905
Train Acc.: 0.8052 | Test Acc.: 0.8009
Epoch: 069/200   | Learning Rate 0.001000
Train Auc.: 0.8975 | Test Auc.: 0.8940
Train Loss.: 0.2002 | Test Loss.: 0.2002
Train Acc.: 0.6391 | Test Acc.: 0.6385
Epoch: 070/200   | Learning Rate 0.001000
Train Auc.: 0.8717 | Test Auc.: 0.8659
Train Loss.: 0.1867 | Test Loss.: 0.1875
Train Acc.: 0.7269 | Test Acc.: 0.7263
Epoch: 071/200   | Learning Rate 0.001000
Train Auc.: 0.8924 | Test Auc.: 0.8877
Train Loss.: 0.2143 | Test Loss.: 0.2138
Train Acc.: 0.5819 | Test Acc.: 0.5834
Epoch: 072/200   | Learning Rate 0.001000
Train Auc.: 0.9138 | Test Auc.: 0.9118
Train Loss.: 0.1534 | Test Loss.: 0.1542
Train Acc.: 0.8268 | Test Acc.: 0.8238
Epoch: 073/200   | Learning Rate 0.001000
Train Auc.: 0.8976 | Test Auc.: 0.8906
Train Loss.: 0.1564 | Test Loss.: 0.1591
Train Acc.: 0.8167 | Test Acc.: 0.8054
Epoch: 074/200   | Learning Rate 0.001000
Train Auc.: 0.9221 | Test Auc.: 0.9197
Train Loss.: 0.1244 | Test Loss.: 0.1266
Train Acc.: 0.8344 | Test Acc.: 0.8306
Epoch: 075/200   | Learning Rate 0.001000
Train Auc.: 0.9089 | Test Auc.: 0.9054
Train Loss.: 0.1838 | Test Loss.: 0.1868
Train Acc.: 0.7238 | Test Acc.: 0.7168
Epoch: 076/200   | Learning Rate 0.001000
Train Auc.: 0.9128 | Test Auc.: 0.9092
Train Loss.: 0.1367 | Test Loss.: 0.1394
Train Acc.: 0.8171 | Test Acc.: 0.8123
Epoch: 077/200   | Learning Rate 0.001000
Train Auc.: 0.9296 | Test Auc.: 0.9272
Train Loss.: 0.1159 | Test Loss.: 0.1183
Train Acc.: 0.8528 | Test Acc.: 0.8480
Epoch: 078/200   | Learning Rate 0.001000
Train Auc.: 0.8983 | Test Auc.: 0.8912
Train Loss.: 0.1560 | Test Loss.: 0.1584
Train Acc.: 0.7951 | Test Acc.: 0.7909
Epoch: 079/200   | Learning Rate 0.001000
Train Auc.: 0.9279 | Test Auc.: 0.9247
Train Loss.: 0.1381 | Test Loss.: 0.1397
Train Acc.: 0.8249 | Test Acc.: 0.8206
Epoch: 080/200   | Learning Rate 0.001000
Train Auc.: 0.9305 | Test Auc.: 0.9270
Train Loss.: 0.1545 | Test Loss.: 0.1566
Train Acc.: 0.7836 | Test Acc.: 0.7772
Epoch: 081/200   | Learning Rate 0.001000
Train Auc.: 0.8425 | Test Auc.: 0.8309
Train Loss.: 0.1800 | Test Loss.: 0.1860
Train Acc.: 0.7450 | Test Acc.: 0.7319
Epoch: 082/200   | Learning Rate 0.001000
Train Auc.: 0.9238 | Test Auc.: 0.9202
Train Loss.: 0.1582 | Test Loss.: 0.1609
Train Acc.: 0.7986 | Test Acc.: 0.7939
Epoch: 083/200   | Learning Rate 0.001000
Train Auc.: 0.9106 | Test Auc.: 0.9082
Train Loss.: 0.1319 | Test Loss.: 0.1345
Train Acc.: 0.8262 | Test Acc.: 0.8146
Epoch: 084/200   | Learning Rate 0.001000
Train Auc.: 0.9334 | Test Auc.: 0.9300
Train Loss.: 0.1401 | Test Loss.: 0.1438
Train Acc.: 0.8316 | Test Acc.: 0.8265
Epoch: 085/200   | Learning Rate 0.001000
Train Auc.: 0.8679 | Test Auc.: 0.8626
Train Loss.: 0.2059 | Test Loss.: 0.2109
Train Acc.: 0.7106 | Test Acc.: 0.7087
Epoch: 086/200   | Learning Rate 0.001000
Train Auc.: 0.9322 | Test Auc.: 0.9269
Train Loss.: 0.1371 | Test Loss.: 0.1421
Train Acc.: 0.8322 | Test Acc.: 0.8216
Epoch: 087/200   | Learning Rate 0.001000
Train Auc.: 0.9248 | Test Auc.: 0.9202
Train Loss.: 0.1185 | Test Loss.: 0.1215
Train Acc.: 0.8485 | Test Acc.: 0.8453
Epoch: 088/200   | Learning Rate 0.001000
Train Auc.: 0.9027 | Test Auc.: 0.8998
Train Loss.: 0.1347 | Test Loss.: 0.1365
Train Acc.: 0.8264 | Test Acc.: 0.8221
Epoch: 089/200   | Learning Rate 0.001000
Train Auc.: 0.9261 | Test Auc.: 0.9227
Train Loss.: 0.1306 | Test Loss.: 0.1332
Train Acc.: 0.8323 | Test Acc.: 0.8274
Epoch: 090/200   | Learning Rate 0.001000
Train Auc.: 0.9383 | Test Auc.: 0.9335
Train Loss.: 0.1671 | Test Loss.: 0.1701
