Train Auc.: 0.9349 | Test Auc.: 0.9327
Train Loss.: 0.1262 | Test Loss.: 0.1276
Train Acc.: 0.8239 | Test Acc.: 0.8181
Epoch: 058/200   | Learning Rate 0.001000
Train Auc.: 0.9338 | Test Auc.: 0.9333
Train Loss.: 0.1124 | Test Loss.: 0.1125
Train Acc.: 0.8548 | Test Acc.: 0.8553
Epoch: 059/200   | Learning Rate 0.001000
Train Auc.: 0.9339 | Test Auc.: 0.9313
Train Loss.: 0.1156 | Test Loss.: 0.1178
Train Acc.: 0.8497 | Test Acc.: 0.8466
Epoch: 060/200   | Learning Rate 0.001000
Train Auc.: 0.9371 | Test Auc.: 0.9370
Train Loss.: 0.1459 | Test Loss.: 0.1471
Train Acc.: 0.8130 | Test Acc.: 0.8092
Epoch: 061/200   | Learning Rate 0.001000
Train Auc.: 0.9366 | Test Auc.: 0.9370
Train Loss.: 0.1470 | Test Loss.: 0.1484
Train Acc.: 0.8137 | Test Acc.: 0.8105
Epoch: 062/200   | Learning Rate 0.001000
Train Auc.: 0.9369 | Test Auc.: 0.9363
Train Loss.: 0.1566 | Test Loss.: 0.1576
Train Acc.: 0.8027 | Test Acc.: 0.8043
Epoch: 063/200   | Learning Rate 0.001000
Train Auc.: 0.9355 | Test Auc.: 0.9364
Train Loss.: 0.1309 | Test Loss.: 0.1313
Train Acc.: 0.8368 | Test Acc.: 0.8382
Epoch: 064/200   | Learning Rate 0.001000
Train Auc.: 0.9336 | Test Auc.: 0.9345
Train Loss.: 0.1202 | Test Loss.: 0.1194
Train Acc.: 0.8445 | Test Acc.: 0.8515
Epoch: 065/200   | Learning Rate 0.001000
Train Auc.: 0.9388 | Test Auc.: 0.9385
Train Loss.: 0.1073 | Test Loss.: 0.1077
Train Acc.: 0.8599 | Test Acc.: 0.8606
Epoch: 066/200   | Learning Rate 0.001000
Train Auc.: 0.9366 | Test Auc.: 0.9321
Train Loss.: 0.1156 | Test Loss.: 0.1179
Train Acc.: 0.8424 | Test Acc.: 0.8393
Epoch: 067/200   | Learning Rate 0.001000
